Value Date,HY Excess Return
2016-06-20,-0.023356139782067
2016-06-17,-0.779304788208099
2016-06-16,-1.15180044268902
2016-06-15,-0.696497945018706
2016-06-14,-0.584385008239127
2016-06-13,-0.067677624340711
2016-06-10,0.190423349812674
2016-06-09,0.506324800261169
2016-06-08,0.616453263547792
2016-06-07,0.229423542357306
2016-06-06,-0.07840958441101
2016-06-03,-0.506596876624233
2016-06-02,-0.136520264492443
2016-06-01,-0.126862941616113
2016-05-31,0.724106455549873
2016-05-30,
2016-05-27,0.606058820913989
2016-05-26,0.543646083855131
2016-05-25,0.635525345571308
2016-05-24,0.323545017740752
2016-05-23,0.0130063006993
2016-05-20,-0.087331202672732
2016-05-19,-0.368259076198037
2016-05-18,0.183038637881022
2016-05-17,-0.273634101566656
2016-05-16,-0.472399111707621
2016-05-13,-0.856885859854687
2016-05-12,-0.635670463921839
2016-05-11,-0.819294600631607
2016-05-10,-1.04503807146297
2016-05-09,-1.27954786252538
2016-05-06,-1.14647499883122
2016-05-05,-0.911776297288818
2016-05-04,-0.739069687103312
2016-05-03,-0.435791440665474
2016-05-02,0.174167900116806
2016-04-29,3.94414762540535
2016-04-28,4.06711525232814
2016-04-27,3.73626725712093
2016-04-26,3.68158984126619
2016-04-25,3.43217452666911
2016-04-22,3.48133060989608
2016-04-21,3.44926854729207
2016-04-20,3.31978715039379
2016-04-19,2.6106024134036
2016-04-18,1.89947033575638
2016-04-15,1.85369192124079
2016-04-14,1.96464710273061
2016-04-13,1.61600352188768
2016-04-12,0.947682927130941
2016-04-11,0.374845206436333
2016-04-08,0.173714572307246
2016-04-07,-0.194661752327118
2016-04-06,0.124435790893662
2016-04-05,-0.278121411454034
2016-04-04,0.165376723342972
2016-04-01,0.069245352198328
2016-03-31,4.25514486391406
2016-03-30,4.18535959446715
2016-03-29,3.70643105592337
2016-03-28,4.32199691860266
2016-03-25,
2016-03-24,4.49176092367762
2016-03-23,5.05536501905748
2016-03-22,5.45206624846908
2016-03-21,5.49889246637538
2016-03-18,5.16009855478818
2016-03-17,4.68614828599425
2016-03-16,4.15060720937398
2016-03-15,4.5349291909181
2016-03-14,4.86065534078001
2016-03-11,4.63768152907866
2016-03-10,3.67658602408841
2016-03-09,3.17294641536657
2016-03-08,3.1990356850147
2016-03-07,3.52877526642705
2016-03-04,3.12183145921725
2016-03-03,2.19974662008681
2016-03-02,1.95488943812363
2016-03-01,1.2564352175453
2016-02-29,-0.020766034391046
2016-02-26,-0.510312681160627
2016-02-25,-1.58865590626334
2016-02-24,-1.94557370233085
2016-02-23,-1.67442030260247
2016-02-22,-1.5939110119074
2016-02-19,-2.15021100244949
2016-02-18,-1.92906646012546
2016-02-17,-2.11246702648254
2016-02-16,-3.06467472283143
2016-02-15,
2016-02-12,-3.68790995366994
2016-02-11,-4.62891918477014
2016-02-10,-3.30138649845115
2016-02-09,-3.55487327793705
2016-02-08,-3.0985673690616
2016-02-05,-1.46706129895924
2016-02-04,-1.1254736761085
2016-02-03,-1.13783376893831
2016-02-02,-0.916432035486476
2016-02-01,-0.010186748544693
2016-01-29,-3.38897339870254
2016-01-28,-3.47225066147251
2016-01-27,-3.62969471665006
2016-01-26,-3.78436458934085
2016-01-25,-3.78199278753952
2016-01-22,-3.91310991791446
2016-01-21,-5.01536395101612
2016-01-20,-5.58505928311636
2016-01-19,-3.95615831165108
2016-01-18,
2016-01-15,-4.05214447718054
2016-01-14,-2.66821013674563
2016-01-13,-2.17855395013752
2016-01-12,-1.63931452921182
2016-01-11,-1.25272436906385
2016-01-08,-0.985102673847191
2016-01-07,-0.975604983845655
2016-01-06,-0.451511491147962
2016-01-05,-0.150408664280876
2016-01-04,-0.465915631150881
2015-12-31,-2.3412264015008
2015-12-30,-2.26324068735797
2015-12-29,-2.28230519915965
2015-12-28,-2.7849789155581
2015-12-25,
2015-12-24,-2.8027599960361
2015-12-23,-2.84468423185274
2015-12-22,-3.27512720734866
2015-12-21,-3.62212276293696
2015-12-18,-3.54668975477479
2015-12-17,-2.71058031916424
2015-12-16,-2.53817388206083
2015-12-15,-2.97880325297827
2015-12-14,-3.91564994967872
2015-12-11,-2.92362750487229
2015-12-10,-1.47058556811267
2015-12-09,-1.45566404987053
2015-12-08,-1.213403655551
2015-12-07,-0.606748912410572
2015-12-04,-0.030246212057125
2015-12-03,0.346982639284153
2015-12-02,0.229395142955663
2015-12-01,-0.006501159500651
2015-11-30,-1.89036170074739
2015-11-27,-2.04580040257027
2015-11-26,
2015-11-25,-2.02346598854216
2015-11-24,-2.10268989542293
2015-11-23,-1.88399063562842
2015-11-20,-1.76231762539128
2015-11-19,-1.59410886808392
2015-11-18,-1.19959783855947
2015-11-17,-1.14611094332117
2015-11-16,-1.48150373058871
2015-11-13,-1.22429976606816
2015-11-12,-0.728286974796934
2015-11-11,
2015-11-10,-0.286554921488233
2015-11-09,0.057638695609792
2015-11-06,0.432496747679455
2015-11-05,0.478219021862487
2015-11-04,0.704437726863913
2015-11-03,0.586651811320411
2015-11-02,0.307604615362487
2015-10-30,3.12142526466653
2015-10-29,3.16058162489053
2015-10-28,2.89614917996057
2015-10-27,2.47313065519809
2015-10-26,2.78080088733019
2015-10-23,2.88065027662632
2015-10-22,2.33453465400935
2015-10-21,2.47181903904412
2015-10-20,2.55115170606225
2015-10-19,2.13071507014576
2015-10-16,2.01398567855991
2015-10-15,1.69543345893112
2015-10-14,1.50940398254803
2015-10-13,1.91915464671571
2015-10-12,
2015-10-09,2.25040206544214
2015-10-08,1.66995771526026
2015-10-07,1.37261473007267
2015-10-06,0.494272015391792
2015-10-05,0.074394130474817
2015-10-02,-0.880039544274005
2015-10-01,-0.233440222737408
2015-09-30,-3.44852020837094
2015-09-29,-3.60834603145318
2015-09-28,-3.09425926317217
2015-09-25,-1.80400035439383
2015-09-24,-1.77414068317673
2015-09-23,-1.12136115116608
2015-09-22,-1.11623180688942
2015-09-21,-0.234421922053953
2015-09-18,-0.414580425533258
2015-09-17,0.009730025611394
